8	0.017857143
10	0.028571429
12	0.042857143
14	0.078571429
16	0.110714286
18	0.15
18	0.15
20	0.178571429
20	0.178571429
22	0.239285714
22	0.257142857
24	0.303571429
24	0.339285714
26	0.357142857
26	0.375
28	0.410714286
28	0.428571429
30	0.525
30	0.535714286
32	0.55
32	0.596428571
34	0.592857143
34	0.653571429
36	0.607142857
36	0.675
38	0.696428571
38	0.771428571
40	0.785714286
40	0.785714286
42	0.607142857
42	0.782142857
44	0.642857143
44	0.65
46	0.489285714
46	0.510714286
48	0.25
48	0.253571429
